Executing action: monitor
Serial port COM5
Connecting.......
Detecting chip type... Unsupported detection protocol, switching and trying again...
Detecting chip type...ESP-ROM:esp32s2-rc4-20191025
Build:Oct 25 2019
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3ffe6108,len:0x1760
load:0x4004c000,len:0xabc
load:0x40050000,len:0x31b4
SHA-256 comparison failed:
Calculated: dd3fa7ca65307960a0c87e4cd128c64f10ed3872b52e2016a941d2e172cc4b49
Expected: ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
Attempting to boot anyway...
entry 0x4004c1c0
[0;32mI (40) boot: ESP-IDF v5.0.1 2nd stage bootloader[0m
[0;32mI (40) boot: compile time 01:23:40[0m
[0;32mI (40) boot: chip revision: v0.0[0m
[0;32mI (42) boot.esp32s2: SPI Speed      : 80MHz[0m
[0;32mI (47) boot.esp32s2: SPI Mode       : DIO[0m
[0;32mI (52) boot.esp32s2: SPI Flash Size : 4MB[0m
[0;32mI (57) boot: Enabling RNG early entropy source...[0m
[0;32mI (62) boot: Partition Table:[0m
[0;32mI (66) boot: ## Label            Usage          Type ST Offset   Length[0m
[0;32mI (73) boot:  0 nvs              WiFi data        01 02 00009000 00006000[0m
[0;32mI (80) boot:  1 phy_init         RF data          01 01 0000f000 00001000[0m
[0;32mI (88) boot:  2 factory          factory app      00 00 00010000 00100000[0m
[0;32mI (95) boot: End of partition table[0m
[0;32mI (99) esp_image: segment 0: paddr=00010020 vaddr=3f000020 size=08a10h ( 35344) map[0m
[0;32mI (112) esp_image: segment 1: paddr=00018a38 vaddr=3ffbd120 size=015d4h (  5588) load[0m
[0;32mI (117) esp_image: segment 2: paddr=0001a014 vaddr=40022000 size=06004h ( 24580) load[0m
[0;32mI (129) esp_image: segment 3: paddr=00020020 vaddr=40080020 size=14ff8h ( 86008) map[0m
[0;32mI (144) esp_image: segment 4: paddr=00035020 vaddr=40028004 size=05110h ( 20752) load[0m
[0;32mI (153) boot: Loaded app from partition at offset 0x10000[0m
[0;32mI (153) boot: Disabling RNG early entropy source...[0m
[0;32mI (167) cache: Instruction cache 	: size 8KB, 4Ways, cache line size 32Byte[0m
4.799998,0,0
4.899998,0,0
4.999998,0,0
5.099998,0,0
5.199997,0,0
5.299997,0,0
5.399997,0,0
5.499997,0,0
5.599997,0,0
5.699997,0,0
5.799997,2,0
5.899997,1,0
5.999997,1,0
6.099997,0,0
6.199996,0,0
6.299996,1,0
6.399996,5,1
6.499996,1,0
6.599996,4303,1313
6.699996,4215,1286
6.799996,4167,1271
6.899996,4140,1263
6.999996,4119,1257
7.099996,4070,1242
7.199996,4039,1232
7.299995,4035,1231
7.399995,4007,1222
7.499995,4012,1224
7.599995,3991,1218
7.699995,3984,1215
7.799995,3980,1214
7.899995,3985,1216
7.999995,3993,1218
8.099995,3996,1219
8.199995,3999,1220
8.299995,3954,1206
8.399996,3926,1198
8.499996,3932,1200
8.599997,3947,1204
8.699997,3889,1186
8.799997,3891,1187
8.899998,3891,1187
8.999998,3893,1188
9.099998,3889,1186
9.199999,3898,1189
9.299999,3903,1191
9.400000,3902,1190
9.500000,3956,1207
9.600000,3889,1186
9.700001,3915,1194
9.800001,3876,1183
9.900002,3867,1180
10.000002,3875,1182
10.100002,3866,1179
10.200003,3854,1176
10.300003,3774,1151
10.400003,3690,1126
10.500004,3751,1144
10.600004,3792,1157
10.700005,3878,1183
10.800005,3904,1191
10.900005,3894,1188
11.000006,3882,1184
11.100006,3874,1182
11.200006,3868,1180
11.300007,3837,1171
11.400007,3841,1172
11.500008,3805,1161
11.600008,3786,1155
11.700008,3795,1158
11.800009,3748,1143
11.900009,3748,1143
12.000010,3728,1137
12.100010,3744,1142
12.200010,3742,1142
12.300011,3738,1140
12.400011,3758,1146
12.500011,3732,1139
12.600012,3746,1143
12.700012,3715,1133
12.800013,3679,1122
12.900013,3661,1117
13.000013,3677,1122
13.100014,3681,1123
13.200014,3660,1117
13.300014,3650,1114
13.400015,3661,1117
13.500015,3675,1121
13.600016,3696,1128
13.700016,3695,1127
13.800016,3672,1120
13.900017,3651,1114
14.000017,3643,1111
14.100018,3654,1115
14.200018,3657,1116
14.300018,3641,1111
14.400019,3640,1110
14.500019,3653,1114
14.600019,3652,1114
14.700020,3642,1111
14.800020,3640,1110
14.900021,3627,1107
15.000021,3611,1102
15.100021,3583,1093
15.200022,3574,1090
15.300022,3574,1090
15.400023,3578,1092
15.500023,3572,1090
15.600023,3559,1086
15.700024,3551,1083
15.800024,3555,1085
15.900024,3558,1085
16.000025,3564,1087
16.100025,3556,1085
16.200026,3545,1081
16.300026,3541,1080
16.400026,3534,1078
16.500027,3535,1078
16.600027,3516,1073
16.700027,3511,1071
16.800028,3500,1068
16.900028,3492,1065
17.000029,3497,1067
17.100029,3496,1067
17.200029,3499,1067
17.300030,3497,1067
17.400030,3493,1066
17.500031,3492,1065
17.600031,3491,1065
17.700031,3483,1063
17.800032,3478,1061
17.900032,3474,1060
18.000032,3475,1060
18.100033,3477,1061
18.200033,3478,1061
18.300034,3476,1060
18.400034,3475,1060
18.500034,3469,1058
18.600035,3471,1059
18.700035,3479,1061
18.800035,3469,1058
18.900036,3467,1058
19.000036,3462,1056
19.100037,3455,1054
19.200037,3459,1055
19.300037,3449,1052
19.400038,3446,1051
19.500038,3443,1050
19.600039,3440,1049
19.700039,3435,1048
19.800039,3434,1048
19.900040,3424,1045
20.000040,3418,1043
20.100040,3418,1043
20.200041,3415,1042
20.300041,3410,1040
20.400042,3409,1040
20.500042,3410,1040
20.600042,3398,1037
20.700043,3389,1034
20.800043,3392,1035
20.900043,3392,1035
21.000044,3408,1040
21.100044,3401,1038
21.200045,3397,1036
21.300045,3400,1037
21.400045,3397,1036
21.500046,3392,1035
21.600046,3394,1035
21.700047,3401,1038
21.800047,3398,1037
21.900047,3396,1036
22.000048,3394,1035
22.100048,3396,1036
22.200048,3392,1035
22.300049,3391,1034
22.400049,3394,1035
22.500050,3402,1038
22.600050,3405,1039
22.700050,3394,1035
22.800051,3387,1033
22.900051,3384,1032
23.000051,3385,1033
23.100052,3382,1032
23.200052,3377,1030
23.300053,3375,1030
23.400053,3376,1030
23.500053,3370,1028
23.600054,3372,1029
23.700054,3371,1028
23.800055,3370,1028
23.900055,3376,1030
24.000055,3373,1029
24.100056,3375,1030
24.200056,3375,1030
24.300056,3376,1030
24.400057,3373,1029
24.500057,3370,1028
24.600058,3371,1028
24.700058,3373,1029
24.800058,3373,1029
24.900059,3377,1030
25.000059,3372,1029
25.100060,3374,1029
25.200060,3373,1029
25.300060,3375,1030
25.400061,3374,1029
25.500061,3377,1030
25.600061,3378,1031
25.700062,3378,1031
25.800062,3372,1029
25.900063,3371,1028
26.000063,3375,1030
26.100063,3384,1032
26.200064,3370,1028
26.300064,3484,1063
26.400064,3436,1048
26.500065,3518,1073
26.600065,3566,1088
26.700066,3649,1113
26.800066,3729,1138
26.900066,3652,1114
27.000067,3638,1110
27.100067,3628,1107
27.200068,3645,1112
27.300068,3626,1106
27.400068,3639,1110
27.500069,3595,1097
27.600069,3744,1142
27.700069,3525,1075
27.800070,3457,1055
27.900070,3580,1092
28.000071,3530,1077
28.100071,3570,1089
28.200071,3493,1066
28.300072,3518,1073
28.400072,3525,1075
28.500072,3732,1139
28.600073,3705,1130
28.700073,3709,1132
28.800074,3758,1146
28.900074,3810,1162
29.000074,3518,1073
29.100075,3876,1183
29.200075,3999,1220
29.300076,3960,1208
29.400076,3866,1179
29.500076,3791,1157
29.600077,3792,1157
29.700077,3804,1161
29.800077,3808,1162
29.900078,3816,1164
30.000078,3746,1143
30.100079,3764,1148
30.200079,3783,1154
30.300079,3922,1197
30.400080,3777,1152
30.500080,3715,1133
30.600080,3869,1180
30.700081,3801,1160
30.800081,3867,1180
30.900082,3769,1150
31.000082,3788,1156
31.100082,3670,1120
31.200083,3942,1203
31.300083,3958,1208
31.400084,3966,1210
31.500084,4093,1249
31.600084,4056,1237
31.700085,3981,1215
31.800085,3977,1213
31.900085,3971,1212
32.000084,3963,1209
32.100082,3973,1212
32.200081,3994,1219
32.300079,4005,1222
32.400078,4002,1221
32.500076,4009,1223
32.600075,4013,1224
32.700073,4061,1239
32.800072,4066,1240
32.900070,4068,1241
33.000069,4061,1239
33.100067,4053,1237
33.200066,4057,1238
33.300064,4045,1234
33.400063,4022,1227
33.500061,4028,1229
33.600060,3976,1213
33.700058,3877,1183
33.800056,3977,1213
33.900055,3672,1120
34.000053,3724,1136
34.100052,3851,1175
34.200050,3978,1214
34.300049,3896,1189
34.400047,3866,1179
34.500046,4200,1281
34.600044,4107,1253
34.700043,4058,1238
34.800041,4040,1233
34.900040,4048,1235
35.000038,4003,1221
35.100037,4128,1259
35.200035,4154,1267
35.300034,4159,1269
35.400032,4196,1280
35.500031,4160,1269
35.600029,4094,1249
35.700027,3906,1192
35.800026,4033,1230
35.900024,3872,1181
36.000023,3920,1196
36.100021,3874,1182
36.200020,4048,1235
36.300018,4062,1239
36.400017,3941,1202
36.500015,3969,1211
36.600014,3893,1188
36.700012,3951,1205
36.800011,3999,1220
36.900009,4153,1267
37.000008,4206,1283
37.100006,4557,1390
37.200005,4494,1371
37.300003,4437,1354
37.400002,4427,1351
37.500000,4421,1349
37.599998,4412,1346
37.699997,4362,1331
37.799995,4348,1327
37.899994,4378,1336
37.999992,4370,1333
38.099991,4385,1338
38.199989,4367,1332
38.299988,4331,1321
38.399986,4255,1298
38.499985,4326,1320
38.599983,4332,1322
38.699982,4363,1331
38.799980,4356,1329
38.899979,4247,1296
38.999977,4262,1300
39.099976,4237,1293
39.199974,4169,1272
39.299973,4431,1352
39.399971,4403,1343
39.499969,4392,1340
39.599968,4346,1326
39.699966,4332,1322
39.799965,4341,1324
39.899963,4338,1324
39.999962,4358,1330
40.099960,4321,1318
40.199959,4279,1306
40.299957,4290,1309
40.399956,4358,1330
40.499954,4300,1312
40.599953,4273,1304
40.699951,4355,1329
40.799950,4285,1307
40.899948,4295,1310
40.999947,4278,1305
41.099945,4300,1312
41.199944,4228,1290
41.299942,4278,1305
41.399940,4263,1301
41.499939,4272,1303
41.599937,4232,1291
41.699936,4225,1289
41.799934,4273,1304
41.899933,4285,1307
41.999931,4300,1312
42.099930,4287,1308
42.199928,4193,1279
42.299927,4293,1310
42.399925,4358,1330
42.499924,4357,1329
42.599922,4483,1368
42.699921,4437,1354
42.799919,4454,1359
42.899918,4437,1354
42.999916,4456,1360
43.099915,4431,1352
43.199913,4477,1366
43.299911,4495,1371
43.399910,4596,1402
43.499908,4573,1395
43.599907,4569,1394
43.699905,4592,1401
43.799904,4591,1401
43.899902,4595,1402
43.999901,4629,1412
44.099899,4677,1427
44.199898,4668,1424
44.299896,4664,1423
44.399895,4654,1420
44.499893,4667,1424
44.599892,4713,1438
44.699890,4689,1431
44.799889,4673,1426
44.899887,4698,1433
44.999886,4695,1432
45.099884,4696,1433
45.199883,4764,1454
45.299881,4736,1445
45.399879,4734,1444
45.499878,4787,1461
45.599876,4796,1463
45.699875,4711,1437
45.799873,4638,1415
45.899872,4674,1426
45.999870,4675,1426
46.099869,4665,1423
46.199867,4664,1423
46.299866,4659,1421
46.399864,4628,1412
46.499863,4676,1427
46.599861,4639,1415
46.699860,4653,1420
46.799858,4623,1410
46.899857,4595,1402
46.999855,4618,1409
47.099854,4610,1407
47.199852,4667,1424
47.299850,4595,1402
47.399849,4598,1403
47.499847,4602,1404
47.599846,4595,1402
47.699844,4566,1393
47.799843,4573,1395
47.899841,4538,1385
47.999840,4528,1382
48.099838,4505,1374
48.199837,4505,1374
48.299835,4639,1415
48.399834,4649,1418
48.499832,4585,1399
48.599831,4619,1409
48.699829,4460,1361
48.799828,4578,1397
48.899826,4462,1361
48.999825,4544,1386
49.099823,4480,1367
49.199821,4446,1356
49.299820,4438,1354
49.399818,4391,1340
49.499817,4371,1334
49.599815,4247,1296
49.699814,4356,1329
49.799812,4353,1328
49.899811,4353,1328
49.999809,4330,1321
50.099808,4305,1313
50.199806,4145,1265
50.299805,4234,1292
50.399803,4033,1230
50.499802,4050,1236
50.599800,3945,1204
50.699799,4223,1288
50.799797,3880,1184
50.899796,3808,1162
50.999794,4100,1251
51.099792,3991,1218
51.199791,3903,1191
51.299789,3780,1153
51.399788,3956,1207
51.499786,3812,1163
51.599785,3879,1183
51.699783,3789,1156
51.799782,3746,1143
51.899780,3757,1146
51.999779,3637,1110
52.099777,3722,1136
52.199776,3554,1084
52.299774,3746,1143
52.399773,3727,1137
52.499771,3651,1114
52.599770,3891,1187
52.699768,3735,1139
52.799767,4166,1271
52.899765,3910,1193
52.999763,3636,1109
53.099762,3937,1201
53.199760,3921,1196
53.299759,3801,1160
53.399757,3763,1148
53.499756,3745,1143
53.599754,3730,1138
53.699753,3710,1132
53.799751,3694,1127
53.899750,3994,1219
53.999748,3736,1140
54.099747,3713,1133
54.199745,3653,1114
54.299744,3763,1148
54.399742,3797,1158
54.499741,3940,1202
54.599739,3881,1184
54.699738,3757,1146
54.799736,3759,1147
54.899734,3946,1204
54.999733,3944,1203
55.099731,3793,1157
55.199730,3763,1148
55.299728,4032,1230
55.399727,4054,1237
55.499725,3882,1184
55.599724,3820,1165
55.699722,4030,1230
55.799721,3867,1180
55.899719,3770,1150
55.999718,4134,1261
56.099716,3867,1180
56.199715,3772,1151
56.299713,3690,1126
56.399712,3949,1205
56.499710,3749,1144
56.599709,3734,1139
56.699707,4145,1265
56.799706,3810,1162
56.899704,3772,1151
56.999702,3872,1181
57.099701,3798,1159
57.199699,3679,1122
57.299698,3575,1091
57.399696,3647,1113
57.499695,3623,1105
57.599693,3798,1159
57.699692,3660,1117
57.799690,3598,1098
57.899689,3898,1189
57.999687,3796,1158
58.099686,3614,1103
58.199684,3580,1092
58.299683,3902,1190
58.399681,3715,1133
58.499680,3671,1120
58.599678,3939,1202
58.699677,3453,1053
58.799675,3456,1054
58.899673,3446,1051
58.999672,3427,1045
59.099670,3417,1042
59.199669,3849,1174
59.299667,3565,1088
59.399666,3438,1049
59.499664,3474,1060
59.599663,3457,1055
59.699661,3396,1036
59.799660,3379,1031
59.899658,3335,1017
59.999657,3346,1021
60.099655,3289,1003
60.199654,3325,1014
60.299652,3395,1036
60.399651,3457,1055
60.499649,3465,1057
60.599648,3456,1054
60.699646,3456,1054
60.799644,3445,1051
60.899643,3438,1049
60.999641,3432,1047
61.099640,3433,1047
61.199638,3427,1045
61.299637,3422,1044
61.399635,3420,1043
61.499634,3417,1042
61.599632,3412,1041
61.699631,3415,1042
61.799629,3411,1041
61.899628,3415,1042
61.999626,3410,1040
62.099625,3420,1043
62.199623,3430,1046
62.299622,3435,1048
62.399620,3436,1048
62.499619,3436,1048
62.599617,3437,1049
62.699615,3432,1047
62.799614,3441,1050
62.899612,3437,1049
62.999611,3441,1050
63.099609,3448,1052
63.199608,3446,1051
63.299606,3448,1052
63.399605,3456,1054
63.499603,3450,1052
63.599602,3443,1050
63.699600,3442,1050
63.799599,3448,1052
63.899597,3443,1050
63.999596,3442,1050
64.099594,3437,1049
64.199593,3443,1050
64.299591,3444,1051
64.399590,3453,1053
64.499588,3449,1052
64.599586,3453,1053
64.699585,3447,1052
64.799583,3453,1053
64.899582,3456,1054
64.999580,3460,1056
65.099579,3457,1055
65.199577,3454,1054
65.299576,3457,1055
65.399574,3454,1054
65.499573,3459,1055
65.599571,3462,1056
65.699570,3465,1057
65.799568,3481,1062
65.899567,3479,1061
65.999565,3475,1060
66.099564,3473,1060
66.199562,3475,1060
66.299561,3477,1061
66.399559,3472,1059
66.499557,3483,1063
66.599556,3477,1061
66.699554,3472,1059
66.799553,3472,1059
66.899551,3464,1057
66.999550,3465,1057
67.099548,3466,1057
67.199547,3462,1056
67.299545,3473,1060
67.399544,3474,1060
67.499542,3474,1060
67.599541,3471,1059
67.699539,3476,1060
67.799538,3469,1058
67.899536,3470,1059
67.999535,3471,1059
68.099533,3480,1062
68.199532,3473,1060
68.299530,3476,1060
68.399529,3475,1060
68.499527,3474,1060
68.599525,3478,1061
68.699524,3471,1059
68.799522,3474,1060
68.899521,3472,1059
68.999519,3471,1059
69.099518,3469,1058
69.199516,3472,1059
69.299515,3469,1058
69.399513,3469,1058
69.499512,3471,1059
69.599510,3469,1058
69.699509,3460,1056
69.799507,3464,1057
69.899506,3461,1056
69.999504,3455,1054
70.099503,3456,1054
70.199501,3452,1053
70.299500,3452,1053
70.399498,3458,1055
70.499496,3458,1055
70.599495,3458,1055
70.699493,3461,1056
70.799492,3466,1057
70.899490,3469,1058
70.999489,3457,1055
71.099487,3473,1060
71.199486,3463,1056
71.299484,3467,1058
71.399483,3464,1057
71.499481,3459,1055
71.599480,3463,1056
71.699478,3462,1056
71.799477,3462,1056
71.899475,3462,1056
71.999474,3461,1056
72.099472,3461,1056
72.199471,3473,1060
72.299469,3467,1058
72.399467,3472,1059
72.499466,3470,1059
72.599464,3471,1059
72.699463,3470,1059
72.799461,3474,1060
72.899460,3477,1061
72.999458,3480,1062
73.099457,3479,1061
73.199455,3477,1061
73.299454,3472,1059
73.399452,3472,1059
73.499451,3472,1059
73.599449,3467,1058
73.699448,3465,1057
73.799446,3463,1056
73.899445,3462,1056
73.999443,3468,1058
74.099442,3464,1057
74.199440,3461,1056
74.299438,3466,1057
74.399437,3464,1057
74.499435,3465,1057
74.599434,3462,1056
74.699432,3465,1057
74.799431,3464,1057
74.899429,3469,1058
74.999428,3464,1057
75.099426,3468,1058
75.199425,3461,1056
75.299423,3465,1057
75.399422,3469,1058
75.499420,3475,1060
75.599419,3468,1058
75.699417,3478,1061
75.799416,3485,1063
75.899414,3486,1063
75.999413,3488,1064
76.099411,3487,1064
76.199409,3486,1063
76.299408,3483,1063
76.399406,3486,1063
76.499405,3484,1063
76.599403,3484,1063
76.699402,3480,1062
76.799400,3478,1061
76.899399,3480,1062
76.999397,3477,1061
77.099396,3481,1062
77.199394,3478,1061
77.299393,3481,1062
77.399391,3481,1062
77.499390,3481,1062
77.599388,3480,1062
77.699387,3483,1063
77.799385,3479,1061
77.899384,3490,1065
77.999382,3486,1063
78.099380,3479,1061
78.199379,3483,1063
78.299377,3483,1063
78.399376,3481,1062
78.499374,3471,1059
78.599373,3471,1059
78.699371,3478,1061
78.799370,3475,1060
78.899368,3474,1060
78.999367,3474,1060
79.099365,3476,1060
79.199364,3475,1060
79.299362,3478,1061
79.399361,3475,1060
79.499359,3476,1060
79.599358,3479,1061
79.699356,3477,1061
79.799355,3481,1062
79.899353,3477,1061
79.999352,3475,1060
80.099350,3477,1061
80.199348,3481,1062
80.299347,3479,1061
80.399345,3479,1061
80.499344,3487,1064
80.599342,3484,1063
80.699341,3482,1062
80.799339,3485,1063
80.899338,3488,1064
80.999336,3484,1063
81.099335,3479,1061
81.199333,3481,1062
81.299332,3483,1063
81.399330,3478,1061
81.499329,3486,1063
81.599327,3487,1064
81.699326,3489,1064
81.799324,3489,1064
81.899323,3483,1063
81.999321,3492,1065
82.099319,3486,1063
82.199318,3494,1066
82.299316,3490,1065
82.399315,3494,1066
82.499313,3500,1068
82.599312,3494,1066
82.699310,3500,1068
82.799309,3498,1067
82.899307,3495,1066
82.999306,3494,1066
83.099304,3496,1067
83.199303,3497,1067
83.299301,3497,1067
83.399300,3497,1067
83.499298,3497,1067
83.599297,3497,1067
83.699295,3505,1069
83.799294,3506,1070
83.899292,3511,1071
83.999290,3511,1071
84.099289,3507,1070
84.199287,3509,1070
84.299286,3517,1073
84.399284,3518,1073
84.499283,3518,1073
84.599281,3518,1073
84.699280,3515,1072
84.799278,3510,1071
84.899277,3514,1072
84.999275,3514,1072
85.099274,3510,1071
85.199272,3517,1073
85.299271,3517,1073
85.399269,3519,1074
85.499268,3523,1075
85.599266,3518,1073
85.699265,3520,1074
85.799263,3519,1074
85.899261,3525,1075
85.999260,3517,1073
86.099258,3520,1074
86.199257,3517,1073
86.299255,3517,1073
86.399254,3520,1074
86.499252,3518,1073
86.599251,3517,1073
86.699249,3516,1073
86.799248,3522,1074
86.899246,3524,1075
86.999245,3515,1072
87.099243,3514,1072
87.199242,3512,1071
87.299240,3516,1073
87.399239,3520,1074
87.499237,3517,1073
87.599236,3518,1073
87.699234,3517,1073
87.799232,3524,1075
87.899231,3524,1075
87.999229,3521,1074
88.099228,3521,1074
88.199226,3528,1076
88.299225,3526,1076
88.399223,3529,1077
88.499222,3529,1077
88.599220,3537,1079
88.699219,3535,1078
88.799217,3540,1080
88.899216,3537,1079
88.999214,3530,1077
89.099213,3532,1078
89.199211,3530,1077
89.299210,3531,1077
89.399208,3535,1078
89.499207,3534,1078
89.599205,3529,1077
89.699203,3532,1078
89.799202,3531,1077
89.899200,3535,1078
89.999199,3536,1079
90.099197,3529,1077
90.199196,3529,1077
90.299194,3532,1078
90.399193,3528,1076
90.499191,3530,1077
90.599190,3534,1078
90.699188,3530,1077
90.799187,3535,1078
90.899185,3537,1079
90.999184,3536,1079
91.099182,3536,1079
91.199181,3536,1079
91.299179,3535,1078
91.399178,3536,1079
91.499176,3532,1078
91.599174,3528,1076
91.699173,3532,1078
91.799171,3533,1078
91.899170,3530,1077
91.999168,3535,1078
92.099167,3546,1082
92.199165,3545,1081
92.299164,3543,1081
92.399162,3547,1082
92.499161,3546,1082
92.599159,3548,1082
92.699158,3544,1081
92.799156,3542,1081
92.899155,3542,1081
92.999153,3545,1081
93.099152,3543,1081
93.199150,3542,1081
93.299149,3542,1081
93.399147,3543,1081
93.499146,3537,1079
93.599144,3534,1078
93.699142,3539,1080
93.799141,3534,1078
93.899139,3535,1078
93.999138,3535,1078
94.099136,3534,1078
94.199135,3530,1077
94.299133,3526,1076
94.399132,3534,1078
94.499130,3524,1075
94.599129,3527,1076
94.699127,3528,1076
94.799126,3527,1076
94.899124,3525,1075
94.999123,3531,1077
95.099121,3525,1075
95.199120,3533,1078
95.299118,3521,1074
95.399117,3523,1075
95.499115,3520,1074
95.599113,3521,1074
95.699112,3524,1075
95.799110,3524,1075
95.899109,3520,1074
95.999107,3522,1074
96.099106,3528,1076
96.199104,3521,1074
96.299103,3526,1076
96.399101,3523,1075
96.499100,3528,1076
96.599098,3521,1074
96.699097,3514,1072
96.799095,3515,1072
96.899094,3516,1073
96.999092,3514,1072
97.099091,3513,1072
97.199089,3515,1072
97.299088,3510,1071
97.399086,3510,1071
97.499084,3517,1073
97.599083,3519,1074
97.699081,3520,1074
97.799080,3520,1074
97.899078,3516,1073
97.999077,3521,1074
98.099075,3524,1075
98.199074,3521,1074
98.299072,3521,1074
98.399071,3525,1075
98.499069,3524,1075
98.599068,3524,1075
98.699066,3522,1074
98.799065,3521,1074
98.899063,3531,1077
98.999062,3532,1078
99.099060,3532,1078
99.199059,3533,1078
99.299057,3541,1080
99.399055,3539,1080
99.499054,3540,1080
99.599052,3539,1080
99.699051,3541,1080
99.799049,3544,1081
99.899048,3552,1084
99.999046,3552,1084
100.099045,3551,1083
100.199043,3545,1081
100.299042,3547,1082
100.399040,3547,1082
100.499039,3544,1081
100.599037,3545,1081
100.699036,3546,1082
100.799034,3543,1081
100.899033,3546,1082
100.999031,3548,1082
101.099030,3548,1082
101.199028,3545,1081
101.299026,3549,1083
101.399025,3548,1082
101.499023,3552,1084
101.599022,3550,1083
